operation_id,actor,capability,consumer,request_schema,response_schema,use_case,contract_test,status
decisions.relations.read,authenticated user or system callback,decisions.read,screen:80.09,DecisionsRelationsReadRequest,DecisionsRelationsReadResponse,Odczyt view modelu powierzchni Powiązania z modułami i sprawami; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.decisions-relations-read.test,used
help.home.read,authenticated user or system callback,help.read,screen:85.01,HelpHomeReadRequest,HelpHomeReadResponse,Odczyt view modelu powierzchni Strona główna pomocy; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.help-home-read.test,used
help.procedure-detail.read,authenticated user or system callback,help.read,screen:85.04,HelpProcedureDetailReadRequest,HelpProcedureDetailReadResponse,Odczyt view modelu powierzchni Szczegóły procedury; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.help-procedure-detail-read.test,used
help.procedures.read,authenticated user or system callback,help.read,screen:85.02,HelpProceduresReadRequest,HelpProceduresReadResponse,Odczyt view modelu powierzchni Procedury; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.help-procedures-read.test,used
help.read,authenticated user or system callback,help.read,contract-test:help-read,HelpReadRequest,HelpReadResponse,bazowy odczyt domeny help,contract.help-read.test,support-contract
help.results.read,authenticated user or system callback,help.read,screen:85.03,HelpResultsReadRequest,HelpResultsReadResponse,Odczyt view modelu powierzchni Lista wyników; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.help-results-read.test,used
help.support-request.read,authenticated user or system callback,help.read,screen:85.05,HelpSupportRequestReadRequest,HelpSupportRequestReadResponse,Odczyt view modelu powierzchni Zgłoszenie wsparcia; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.help-support-request-read.test,used
help.write,authenticated user or system callback,help.write,contract-test:help-write,HelpWriteRequest,HelpWriteResponse,bazowa operacja zapisu domeny help,contract.help-write.test,support-contract
integrations.catalog.read,authenticated user or system callback,integrations.read,screen:40.01 | e2e:E2E_90_05_01_katalog-integracji,IntegrationsCatalogReadRequest,IntegrationsCatalogReadResponse,Odczyt view modelu powierzchni Katalog integracji; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-catalog-read.test,used
integrations.connection-wizard.read,authenticated user or system callback,integrations.read,screen:40.02,IntegrationsConnectionWizardReadRequest,IntegrationsConnectionWizardReadResponse,Odczyt view modelu powierzchni Kreator połączenia; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-connection-wizard-read.test,used
integrations.connection.create,authenticated user or system callback,integrations.write,e2e:E2E_90_01_06_polaczenie-integracji | e2e:E2E_90_02_04_integracja | e2e:E2E_90_05_02_kreator-polaczenia,IntegrationsConnectionCreateRequest,IntegrationsConnectionCreateResponse,utworzenie połączenia integracji,contract.integrations-connection-create.test,used
integrations.detail.read,authenticated user or system callback,integrations.read,screen:40.03 | e2e:E2E_90_04_04_zrodlo | e2e:E2E_90_06_02_szczegoly-integracji,IntegrationsDetailReadRequest,IntegrationsDetailReadResponse,Odczyt view modelu powierzchni Szczegóły integracji; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-detail-read.test,used
integrations.disconnect.read,authenticated user or system callback,integrations.read,screen:40.08,IntegrationsDisconnectReadRequest,IntegrationsDisconnectReadResponse,Odczyt view modelu powierzchni Odłączenie; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-disconnect-read.test,used
integrations.oauth.callback,authenticated user or system callback,integrations.write,e2e:E2E_90_05_03_oauth-lub-api-key,IntegrationsOauthCallbackRequest,IntegrationsOauthCallbackResponse,callback integracji OAuth,contract.integrations-oauth-callback.test,used
integrations.provider-outage.read,authenticated user or system callback,integrations.read,screen:40.09 | e2e:E2E_90_06_01_alert-integracji,IntegrationsProviderOutageReadRequest,IntegrationsProviderOutageReadResponse,Odczyt view modelu powierzchni Awaria providera; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-provider-outage-read.test,used
integrations.read,authenticated user or system callback,integrations.read,contract-test:integrations-read,IntegrationsReadRequest,IntegrationsReadResponse,bazowy odczyt domeny integrations,contract.integrations-read.test,support-contract
integrations.reconnect.read,authenticated user or system callback,integrations.read,screen:40.07,IntegrationsReconnectReadRequest,IntegrationsReconnectReadResponse,Odczyt view modelu powierzchni Ponowne połączenie; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-reconnect-read.test,used
integrations.reconnect.start,authenticated user or system callback,integrations.write,e2e:E2E_90_06_03_ponowne-polaczenie,IntegrationsReconnectStartRequest,IntegrationsReconnectStartResponse,ponowne połączenie integracji,contract.integrations-reconnect-start.test,used
integrations.sync-history.read,authenticated user or system callback,integrations.read,screen:40.04 | e2e:E2E_90_06_06_potwierdzenie,IntegrationsSyncHistoryReadRequest,IntegrationsSyncHistoryReadResponse,Odczyt view modelu powierzchni Historia synchronizacji; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-sync-history-read.test,used
integrations.sync-run.read,authenticated user or system callback,integrations.read,screen:40.05,IntegrationsSyncRunReadRequest,IntegrationsSyncRunReadResponse,Odczyt view modelu powierzchni Przebieg synchronizacji; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-sync-run-read.test,used
integrations.sync-scope.read,authenticated user or system callback,integrations.read,screen:40.06 | e2e:E2E_90_05_04_zakres-synchronizacji,IntegrationsSyncScopeReadRequest,IntegrationsSyncScopeReadResponse,Odczyt view modelu powierzchni Zakres synchronizacji; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.integrations-sync-scope-read.test,used
integrations.sync.resume,authenticated user or system callback,integrations.write,e2e:E2E_90_06_05_wznowienie-synchronizacji,IntegrationsSyncResumeRequest,IntegrationsSyncResumeResponse,wznowienie synchronizacji,contract.integrations-sync-resume.test,used
integrations.sync.start,authenticated user or system callback,integrations.write,e2e:E2E_90_01_07_pierwsza-synchronizacja | e2e:E2E_90_05_05_synchronizacja,IntegrationsSyncStartRequest,IntegrationsSyncStartResponse,uruchomienie synchronizacji,contract.integrations-sync-start.test,used
integrations.write,authenticated user or system callback,integrations.write,contract-test:integrations-write,IntegrationsWriteRequest,IntegrationsWriteResponse,bazowa operacja zapisu domeny integrations,contract.integrations-write.test,support-contract
invitation.accept,authenticated user or system callback,auth.write,contract-test:invitation-accept,InvitationAcceptRequest,InvitationAcceptResponse,akceptacja zaproszenia,contract.invitation-accept.test,support-contract
invitation.read,authenticated user or system callback,invitation.read,contract-test:invitation-read,InvitationReadRequest,InvitationReadResponse,odczyt zaproszenia przed decyzją,contract.invitation-read.test,support-contract
invitation.reject,authenticated user or system callback,invitation.write,contract-test:invitation-reject,InvitationRejectRequest,InvitationRejectResponse,odrzucenie zaproszenia,contract.invitation-reject.test,support-contract
invitation.validate,authenticated user or system callback,auth.read,e2e:E2E_90_01_01_przeglad-zaproszenia | auth:auth-15,InvitationValidateRequest,InvitationValidateResponse,walidacja tokenu zaproszenia,contract.invitation-validate.test,used
mobile.device.manage,authenticated user or system callback,mobile.write,contract-test:mobile-device-manage,MobileDeviceManageRequest,MobileDeviceManageResponse,zarządzanie sparowanym urządzeniem mobilnym,contract.mobile-device-manage.test,support-contract
mobile.invite,authenticated user or system callback,mobile.write,contract-test:mobile-invite,MobileInviteRequest,MobileInviteResponse,zaproszenie użytkownika do aplikacji mobilnej,contract.mobile-invite.test,support-contract
mobile.use,authenticated user or system callback,mobile.read,contract-test:mobile-use,MobileUseRequest,MobileUseResponse,użycie aplikacji mobilnej i status urządzenia,contract.mobile-use.test,support-contract
onboarding.profile.update,authenticated user or system callback,workspace.write,e2e:E2E_90_01_05_onboarding | e2e:E2E_90_02_01_profil-dzialalnosci,OnboardingProfileUpdateRequest,OnboardingProfileUpdateResponse,profil działalności,contract.onboarding-profile-update.test,used
onboarding.progress.read,authenticated user or system callback,workspace.read,contract-test:onboarding-progress-read,OnboardingProgressReadRequest,OnboardingProgressReadResponse,postęp onboardingu,contract.onboarding-progress-read.test,support-contract
orders.detail.read,authenticated user or system callback,orders.read,screen:32.03 | e2e:E2E_90_04_05_rekord-zrodlowy,OrdersDetailReadRequest,OrdersDetailReadResponse,Odczyt view modelu powierzchni Szczegóły; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.orders-detail-read.test,used
orders.eksport.read,authenticated user or system callback,orders.read,screen:32.07,OrdersEksportReadRequest,OrdersEksportReadResponse,Odczyt view modelu powierzchni Eksport; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.orders-eksport-read.test,used
orders.list.read,authenticated user or system callback,orders.read,screen:32.02 | e2e:E2E_90_04_03_tabela-alternatywna,OrdersListReadRequest,OrdersListReadResponse,Odczyt view modelu powierzchni Lista; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.orders-list-read.test,used
orders.os-zdarzen.read,authenticated user or system callback,orders.read,screen:32.04,OrdersOsZdarzenReadRequest,OrdersOsZdarzenReadResponse,Odczyt view modelu powierzchni Oś zdarzeń; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.orders-os-zdarzen-read.test,used
orders.overview.read,authenticated user or system callback,orders.read,screen:32.01,OrdersOverviewReadRequest,OrdersOverviewReadResponse,Odczyt view modelu powierzchni Przegląd; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.orders-overview-read.test,used
orders.porownanie-zrodel.read,authenticated user or system callback,orders.read,screen:32.05,OrdersPorownanieZrodelReadRequest,OrdersPorownanieZrodelReadResponse,Odczyt view modelu powierzchni Porównanie źródeł; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.orders-porownanie-zrodel-read.test,used
orders.read,authenticated user or system callback,orders.read,contract-test:orders-read,OrdersReadRequest,OrdersReadResponse,bazowy odczyt domeny orders,contract.orders-read.test,support-contract
orders.rekoncyliacja-skrot.read,authenticated user or system callback,orders.read,screen:32.06,OrdersRekoncyliacjaSkrotReadRequest,OrdersRekoncyliacjaSkrotReadResponse,Odczyt view modelu powierzchni Rekoncyliacja — skrót; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.orders-rekoncyliacja-skrot-read.test,used
orders.write,authenticated user or system callback,orders.write,contract-test:orders-write,OrdersWriteRequest,OrdersWriteResponse,bazowa operacja zapisu domeny orders,contract.orders-write.test,support-contract
papa.action-approval.read,authenticated user or system callback,ai.read,screen:50.12,PapaActionApprovalReadRequest,PapaActionApprovalReadResponse,Odczyt view modelu powierzchni AI Action Approval; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-action-approval-read.test,used
papa.actions.read,authenticated user or system callback,ai.read,screen:50.13 | e2e:E2E_90_16_02_dokladna-operacja,PapaActionsReadRequest,PapaActionsReadResponse,Odczyt view modelu powierzchni AI Actions; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-actions-read.test,used
papa.ai.action.approve,authenticated user or system callback,ai.write,e2e:E2E_90_16_08_approve-albo-reject,PapaAiActionApproveRequest,PapaAiActionApproveResponse,zatwierdzenie działania AI,contract.papa-ai-action-approve.test,used
papa.ai.action.execute,authenticated user or system callback,ai.write,e2e:E2E_90_16_09_wykonanie,PapaAiActionExecuteRequest,PapaAiActionExecuteResponse,wykonanie działania AI,contract.papa-ai-action-execute.test,used
papa.ai.action.reject,authenticated user or system callback,ai.write,contract-test:papa-ai-action-reject,PapaAiActionRejectRequest,PapaAiActionRejectResponse,odrzucenie działania AI,contract.papa-ai-action-reject.test,support-contract
papa.ai.action.rollback,authenticated user or system callback,ai.write,e2e:E2E_90_16_05_rollback,PapaAiActionRollbackRequest,PapaAiActionRollbackResponse,rollback działania AI,contract.papa-ai-action-rollback.test,used
papa.ai.action.validate,authenticated user or system callback,ai.write,e2e:E2E_90_16_01_policy-check | e2e:E2E_90_16_03_cel,PapaAiActionValidateRequest,PapaAiActionValidateResponse,walidacja działania AI,contract.papa-ai-action-validate.test,used
papa.answer.generate,authenticated user or system callback,ai.write,e2e:E2E_90_14_05_odpowiedz,PapaAnswerGenerateRequest,PapaAnswerGenerateResponse,generowanie odpowiedzi Papa,contract.papa-answer-generate.test,used
papa.answer.read,authenticated user or system callback,ai.read,screen:50.05,PapaAnswerReadRequest,PapaAnswerReadResponse,Odczyt view modelu powierzchni Odpowiedź Papa; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-answer-read.test,used
papa.assistant-shell.read,authenticated user or system callback,ai.read,screen:50.02,PapaAssistantShellReadRequest,PapaAssistantShellReadResponse,Odczyt view modelu powierzchni AssistantShell; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-assistant-shell-read.test,used
papa.context-basket.read,authenticated user or system callback,ai.read,screen:50.04,PapaContextBasketReadRequest,PapaContextBasketReadResponse,Odczyt view modelu powierzchni Context basket; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-context-basket-read.test,used
papa.context-panel.read,authenticated user or system callback,ai.read,screen:50.01 | e2e:E2E_90_14_02_otwarcie-papa,PapaContextPanelReadRequest,PapaContextPanelReadResponse,Odczyt view modelu powierzchni Panel kontekstowy Papa; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-context-panel-read.test,used
papa.context.capture,authenticated user or system callback,ai.write,e2e:E2E_90_14_03_snapshot-kontekstu,PapaContextCaptureRequest,PapaContextCaptureResponse,snapshot kontekstu Papa,contract.papa-context-capture.test,used
papa.evidence.read,authenticated user or system callback,ai.read,screen:50.06 | e2e:E2E_90_09_03_dowody | e2e:E2E_90_14_04_dowody | e2e:E2E_90_15_03_dowody-ryzyko-i-wysilek,PapaEvidenceReadRequest,PapaEvidenceReadResponse,Odczyt view modelu powierzchni Dowody; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-evidence-read.test,used
papa.governance.read,authenticated user or system callback,ai.read,screen:50.16 | e2e:E2E_90_14_06_ograniczenia | e2e:E2E_90_16_06_capability,PapaGovernanceReadRequest,PapaGovernanceReadResponse,Odczyt view modelu powierzchni Ustawienia AI i Governance; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-governance-read.test,used
papa.history-memory.read,authenticated user or system callback,ai.read,screen:50.15,PapaHistoryMemoryReadRequest,PapaHistoryMemoryReadResponse,Odczyt view modelu powierzchni Historia i pamięć Papa; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-history-memory-read.test,used
papa.lab.read,authenticated user or system callback,ai.read,screen:50.08,PapaLabReadRequest,PapaLabReadResponse,Odczyt view modelu powierzchni Laboratorium AI; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-lab-read.test,used
papa.observation.save,authenticated user or system callback,ai.write,e2e:E2E_90_14_07_zapis-lub-odrzucenie-obserwacji,PapaObservationSaveRequest,PapaObservationSaveResponse,zapis obserwacji Papa,contract.papa-observation-save.test,used
papa.observations.read,authenticated user or system callback,ai.read,screen:50.09,PapaObservationsReadRequest,PapaObservationsReadResponse,Odczyt view modelu powierzchni Obserwacje; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-observations-read.test,used
papa.proposals.read,authenticated user or system callback,ai.read,screen:50.11,PapaProposalsReadRequest,PapaProposalsReadResponse,Odczyt view modelu powierzchni Propozycje AI; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.papa-proposals-read.test,used
papa.read,authenticated user or system callback,papa.read,contract-test:papa-read,PapaReadRequest,PapaReadResponse,bazowy odczyt domeny papa,contract.papa-read.test,support-contract
papa.write,authenticated user or system callback,papa.write,contract-test:papa-write,PapaWriteRequest,PapaWriteResponse,bazowa operacja zapisu domeny papa,contract.papa-write.test,support-contract
products.catalog.read,authenticated user or system callback,products.read,screen:33.02,ProductsCatalogReadRequest,ProductsCatalogReadResponse,Odczyt view modelu powierzchni Katalog; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.products-catalog-read.test,used
products.detail.read,authenticated user or system callback,products.read,screen:33.03 | e2e:E2E_90_08_01_produkt,ProductsDetailReadRequest,ProductsDetailReadResponse,Odczyt view modelu powierzchni Szczegóły; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.products-detail-read.test,used
products.gaps.queue.read,authenticated user or system callback,products.read,screen:33.07,ProductsGapsQueueReadRequest,ProductsGapsQueueReadResponse,Odczyt view modelu powierzchni Kolejka braków; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.products-gaps-queue-read.test,used
products.impact.read,authenticated user or system callback,products.read,screen:33.08 | e2e:E2E_90_16_04_wplyw,ProductsImpactReadRequest,ProductsImpactReadResponse,Odczyt view modelu powierzchni Analiza wpływu; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.products-impact-read.test,used
products.mapping.read,authenticated user or system callback,products.read,screen:33.04,ProductsMappingReadRequest,ProductsMappingReadResponse,Odczyt view modelu powierzchni Mapowanie; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.products-mapping-read.test,used
products.mapping.update,authenticated user or system callback,products.write,e2e:E2E_90_08_02_mapowanie,ProductsMappingUpdateRequest,ProductsMappingUpdateResponse,aktualizacja mapowania produktu,contract.products-mapping-update.test,used
products.offers.read,authenticated user or system callback,products.read,screen:33.05,ProductsOffersReadRequest,ProductsOffersReadResponse,Odczyt view modelu powierzchni Oferty; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.products-offers-read.test,used
products.overview.read,authenticated user or system callback,products.read,screen:33.01,ProductsOverviewReadRequest,ProductsOverviewReadResponse,Odczyt view modelu powierzchni Przegląd; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.products-overview-read.test,used
products.performance.read,authenticated user or system callback,products.read,screen:33.06,ProductsPerformanceReadRequest,ProductsPerformanceReadResponse,Odczyt view modelu powierzchni Wydajność; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.products-performance-read.test,used
products.read,authenticated user or system callback,products.read,contract-test:products-read,ProductsReadRequest,ProductsReadResponse,bazowy odczyt domeny products,contract.products-read.test,support-contract
products.write,authenticated user or system callback,products.write,contract-test:products-write,ProductsWriteRequest,ProductsWriteResponse,bazowa operacja zapisu domeny products,contract.products-write.test,support-contract
settings.account-security.read,authenticated user or system callback,settings.read,screen:60.05,SettingsAccountSecurityReadRequest,SettingsAccountSecurityReadResponse,Odczyt view modelu powierzchni Bezpieczeństwo konta; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-account-security-read.test,used
settings.audit.read,authenticated user or system callback,settings.read,screen:60.07 | e2e:E2E_90_16_10_audyt,SettingsAuditReadRequest,SettingsAuditReadResponse,Odczyt view modelu powierzchni Audyt; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-audit-read.test,used
settings.memberships.read,authenticated user or system callback,settings.read,screen:60.03,SettingsMembershipsReadRequest,SettingsMembershipsReadResponse,Odczyt view modelu powierzchni Członkostwa; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-memberships-read.test,used
settings.organization.read,authenticated user or system callback,settings.read,screen:60.01,SettingsOrganizationReadRequest,SettingsOrganizationReadResponse,Odczyt view modelu powierzchni Organizacja; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-organization-read.test,used
settings.privacy.read,authenticated user or system callback,settings.read,screen:60.08,SettingsPrivacyReadRequest,SettingsPrivacyReadResponse,Odczyt view modelu powierzchni Prywatność; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-privacy-read.test,used
settings.read,authenticated user or system callback,settings.read,contract-test:settings-read,SettingsReadRequest,SettingsReadResponse,bazowy odczyt domeny settings,contract.settings-read.test,support-contract
settings.roles.read,authenticated user or system callback,settings.read,screen:60.04,SettingsRolesReadRequest,SettingsRolesReadResponse,Odczyt view modelu powierzchni Role i uprawnienia; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-roles-read.test,used
settings.sessions.read,authenticated user or system callback,settings.read,screen:60.06,SettingsSessionsReadRequest,SettingsSessionsReadResponse,Odczyt view modelu powierzchni Sesje; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-sessions-read.test,used
settings.support-access.read,authenticated user or system callback,settings.read,screen:60.09,SettingsSupportAccessReadRequest,SettingsSupportAccessReadResponse,Odczyt view modelu powierzchni Dostęp wsparcia; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-support-access-read.test,used
settings.workspace.profile.update,authenticated user or system callback,settings.write,contract-test:settings-workspace-profile-update,SettingsWorkspaceProfileUpdateRequest,SettingsWorkspaceProfileUpdateResponse,aktualizacja profilu workspace,contract.settings-workspace-profile-update.test,support-contract
settings.workspace.read,authenticated user or system callback,settings.read,screen:60.02,SettingsWorkspaceReadRequest,SettingsWorkspaceReadResponse,Odczyt view modelu powierzchni Workspace; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.settings-workspace-read.test,used
settings.write,authenticated user or system callback,settings.write,contract-test:settings-write,SettingsWriteRequest,SettingsWriteResponse,bazowa operacja zapisu domeny settings,contract.settings-write.test,support-contract
traffic.channels.read,authenticated user or system callback,traffic.read,screen:35.02,TrafficChannelsReadRequest,TrafficChannelsReadResponse,Odczyt view modelu powierzchni Kanały; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.traffic-channels-read.test,used
traffic.drop.diagnose,authenticated user or system callback,traffic.read,e2e:E2E_90_12_04_diagnoza,TrafficDropDiagnoseRequest,TrafficDropDiagnoseResponse,diagnoza spadku ruchu,contract.traffic-drop-diagnose.test,used
traffic.event-quality.read,authenticated user or system callback,traffic.read,screen:35.07 | e2e:E2E_90_12_03_wykrycie-spadku,TrafficEventQualityReadRequest,TrafficEventQualityReadResponse,Odczyt view modelu powierzchni Jakość zdarzeń; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.traffic-event-quality-read.test,used
traffic.funnel-definitions.read,authenticated user or system callback,traffic.read,screen:35.05,TrafficFunnelDefinitionsReadRequest,TrafficFunnelDefinitionsReadResponse,Odczyt view modelu powierzchni Definicje lejka; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.traffic-funnel-definitions-read.test,used
traffic.funnel-step.read,authenticated user or system callback,traffic.read,screen:35.04,TrafficFunnelStepReadRequest,TrafficFunnelStepReadResponse,Odczyt view modelu powierzchni Lejek — szczegóły kroku; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.traffic-funnel-step-read.test,used
traffic.funnel.read,authenticated user or system callback,traffic.read,screen:35.03 | e2e:E2E_90_12_02_lejek,TrafficFunnelReadRequest,TrafficFunnelReadResponse,Odczyt view modelu powierzchni Lejek — widok; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.traffic-funnel-read.test,used
traffic.ga4-orders.read,authenticated user or system callback,traffic.read,screen:35.06,TrafficGa4OrdersReadRequest,TrafficGa4OrdersReadResponse,Odczyt view modelu powierzchni GA4 vs zamówienia; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.traffic-ga4-orders-read.test,used
traffic.landing-pages.read,authenticated user or system callback,traffic.read,screen:35.08,TrafficLandingPagesReadRequest,TrafficLandingPagesReadResponse,Odczyt view modelu powierzchni Strony wejścia; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.traffic-landing-pages-read.test,used
traffic.overview.read,authenticated user or system callback,traffic.read,screen:35.01 | e2e:E2E_90_12_01_ruch,TrafficOverviewReadRequest,TrafficOverviewReadResponse,Odczyt view modelu powierzchni Przegląd ruchu; nie tworzy osobnego CRUD poza przypadkiem użycia.,contract.traffic-overview-read.test,used
traffic.read,authenticated user or system callback,traffic.read,contract-test:traffic-read,TrafficReadRequest,TrafficReadResponse,bazowy odczyt domeny traffic,contract.traffic-read.test,support-contract
traffic.write,authenticated user or system callback,traffic.write,contract-test:traffic-write,TrafficWriteRequest,TrafficWriteResponse,bazowa operacja zapisu domeny traffic,contract.traffic-write.test,support-contract
workspace.onboarding.update,authenticated user or system callback,workspace.write,contract-test:workspace-onboarding-update,WorkspaceOnboardingUpdateRequest,WorkspaceOnboardingUpdateResponse,aktualizacja kroku onboardingu,contract.workspace-onboarding-update.test,support-contract
workspace.resolve,authenticated user or system callback,workspace.read,contract-test:workspace-resolve,WorkspaceResolveRequest,WorkspaceResolveResponse,rozwiązanie kontekstu workspace,contract.workspace-resolve.test,support-contract
